",""Brent crude oil spot price, Monthly (dollars per barrel)"""
"199001 ,21.251"
"199002 ,19.813"
"199003 ,18.387"
"199004 ,16.612"
"199005 ,16.352"
"199006 ,15.104"
"199007 ,17.169"
"199008 ,27.167"
"199009 ,34.899"
"199010 ,36.022"
"199011 ,33.067"
"199012 ,28.273"
"199101 ,23.566"
"199102 ,19.536"
"199103 ,19.082"
"199104 ,19.18"
"199105 ,19.186"
"199106 ,18.167"
"199107 ,19.396"
"199108 ,19.772"
"199109 ,20.501"
"199110 ,22.206"
"199111 ,21.108"
"199112 ,18.41"
"199201 ,18.163"
"199202 ,18.053"
"199203 ,17.63"
"199204 ,18.919"
"199205 ,19.888"
"199206 ,21.158"
"199207 ,20.236"
"199208 ,19.738"
"199209 ,20.27"
"199210 ,20.261"
"199211 ,19.214"
"199212 ,18.139"
"199301 ,17.386"
"199302 ,18.466"
"199303 ,18.785"
"199304 ,18.674"
"199305 ,18.507"
"199306 ,17.652"
"199307 ,16.775"
"199308 ,16.696"
"199309 ,16.011"
"199310 ,16.606"
"199311 ,15.196"
"199312 ,13.725"
"199401 ,14.291"
"199402 ,13.802"
"199403 ,13.822"
"199404 ,15.231"
"199405 ,16.188"
"199406 ,16.763"
"199407 ,17.599"
"199408 ,16.892"
"199409 ,15.895"
"199410 ,16.49"
"199411 ,17.191"
"199412 ,15.932"
"199501 ,16.551"
"199502 ,17.114"
"199503 ,17.006"
"199504 ,18.648"
"199505 ,18.35"
"199506 ,17.312"
"199507 ,15.854"
"199508 ,16.096"
"199509 ,16.699"
"199510 ,16.11"
"199511 ,16.86"
"199512 ,17.925"
"199601 ,17.853"
"199602 ,17.999"
"199603 ,19.851"
"199604 ,20.9"
"199605 ,19.154"
"199606 ,18.456"
"199607 ,19.57"
"199608 ,20.512"
"199609 ,22.63"
"199610 ,24.162"
"199611 ,22.759"
"199612 ,23.783"
"199701 ,23.537"
"199702 ,20.85"
"199703 ,19.133"
"199704 ,17.555"
"199705 ,19.022"
"199706 ,17.58"
"199707 ,18.464"
"199708 ,18.595"
"199709 ,18.46"
"199710 ,19.865"
"199711 ,19.174"
"199712 ,17.181"
"199801 ,15.186"
"199802 ,14.069"
"199803 ,13.103"
"199804 ,13.526"
"199805 ,14.363"
"199806 ,12.206"
"199807 ,12.079"
"199808 ,11.914"
"199809 ,13.343"
"199810 ,12.702"
"199811 ,11.039"
"199812 ,9.824"
"199901 ,11.114"
"199902 ,10.271"
"199903 ,12.511"
"199904 ,15.294"
"199905 ,15.225"
"199906 ,15.863"
"199907 ,19.08"
"199908 ,20.219"
"199909 ,22.543"
"199910 ,22.002"
"199911 ,24.584"
"199912 ,25.473"
"200001 ,25.511"
"200002 ,27.775"
"200003 ,27.486"
"200004 ,22.764"
"200005 ,27.737"
"200006 ,29.795"
"200007 ,28.682"
"200008 ,30.196"
"200009 ,33.144"
"200010 ,30.96"
"200011 ,32.552"
"200012 ,25.66"
"200101 ,25.624"
"200102 ,27.503"
"200103 ,24.497"
"200104 ,25.657"
"200105 ,28.313"
"200106 ,27.849"
"200107 ,24.613"
"200108 ,25.68"
"200109 ,25.619"
"200110 ,20.537"
"200111 ,18.797"
"200112 ,18.705"
"200201 ,19.416"
"200202 ,20.275"
"200203 ,23.696"
"200204 ,25.728"
"200205 ,25.345"
"200206 ,24.081"
"200207 ,25.736"
"200208 ,26.651"
"200209 ,28.399"
"200210 ,27.543"
"200211 ,24.335"
"200212 ,28.334"
"200301 ,31.183"
"200302 ,32.771"
"200303 ,30.612"
"200304 ,24.998"
"200305 ,25.857"
"200306 ,27.652"
"200307 ,28.348"
"200308 ,29.888"
"200309 ,27.112"
"200310 ,29.607"
"200311 ,28.752"
"200312 ,29.807"
"200401 ,31.28"
"200402 ,30.858"
"200403 ,33.634"
"200404 ,33.59"
"200405 ,37.567"
"200406 ,35.183"
"200407 ,38.221"
"200408 ,42.744"
"200409 ,43.196"
"200410 ,49.776"
"200411 ,43.11"
"200412 ,39.602"
"200501 ,44.509"
"200502 ,45.475"
"200503 ,53.104"
"200504 ,51.883"
"200505 ,48.645"
"200506 ,54.354"
"200507 ,57.52"
"200508 ,63.983"
"200509 ,62.908"
"200510 ,58.538"
"200511 ,55.241"
"200512 ,56.855"
"200601 ,62.985"
"200602 ,60.21"
"200603 ,62.064"
"200604 ,70.26"
"200605 ,69.776"
"200606 ,68.555"
"200607 ,73.674"
"200608 ,73.23"
"200609 ,61.958"
"200610 ,57.808"
"200611 ,58.761"
"200612 ,62.472"
"200701 ,53.681"
"200702 ,57.555"
"200703 ,62.05"
"200704 ,67.485"
"200705 ,67.212"
"200706 ,71.045"
"200707 ,76.93"
"200708 ,70.76"
"200709 ,77.173"
"200710 ,82.34"
"200711 ,92.414"
"200712 ,90.926"
"200801 ,92.178"
"200802 ,94.986"
"200803 ,103.635"
"200804 ,109.071"
"200805 ,122.797"
"200806 ,132.322"
"200807 ,132.718"
"200808 ,113.243"
"200809 ,97.234"
"200810 ,71.581"
"200811 ,52.452"
"200812 ,39.946"
"200901 ,43.439"
"200902 ,43.324"
"200903 ,46.54"
"200904 ,50.182"
"200905 ,57.303"
"200906 ,68.61"
"200907 ,64.435"
"200908 ,72.509"
"200909 ,67.646"
"200910 ,72.77"
"200911 ,76.662"
"200912 ,74.456"
"201001 ,76.167"
"201002 ,73.752"
"201003 ,78.827"
"201004 ,84.818"
"201005 ,75.946"
"201006 ,74.761"
"201007 ,75.58"
"201008 ,77.04"
"201009 ,77.84"
"201010 ,82.665"
"201011 ,85.275"
"201012 ,91.447"
"201101 ,96.524"
"201102 ,103.716"
"201103 ,114.643"
"201104 ,123.259"
"201105 ,114.989"
"201106 ,113.833"
"201107 ,116.974"
"201108 ,110.22"
"201109 ,112.834"
"201110 ,109.55"
"201111 ,110.768"
"201112 ,107.871"
"201201 ,110.686"
"201202 ,119.327"
"201203 ,125.445"
"201204 ,119.75"
"201205 ,110.34"
"201206 ,95.156"
"201207 ,102.619"
"201208 ,113.356"
"201209 ,112.864"
"201210 ,111.711"
"201211 ,109.059"
"201212 ,109.494"
"201301 ,112.96"
"201302 ,116.051"
"201303 ,108.474"
"201304 ,102.248"
"201305 ,102.559"
"201306 ,102.92"
"201307 ,107.933"
"201308 ,111.28"
"201309 ,111.597"
"201310 ,109.077"
"201311 ,107.792"
"201312 ,110.757"
"201401 ,108.118"
"201402 ,108.901"
"201403 ,107.481"
"201404 ,107.755"
"201405 ,109.539"
"201406 ,111.795"
"201407 ,106.768"
"201408 ,101.608"
"201409 ,97.091"
"201410 ,87.425"
"201411 ,79.438"
"201412 ,62.335"
"201501 ,47.76"
"201502 ,58.096"
"201503 ,55.885"
"201504 ,59.524"
"201505 ,64.075"
"201506 ,61.478"
"201507 ,56.561"
"201508 ,46.515"
"201509 ,47.623"
"201510 ,48.43"
"201511 ,44.268"
"201512 ,38.005"
"201601 ,30.7"
"201602 ,32.182"
"201603 ,38.21"
"201604 ,41.583"
"201605 ,46.742"
"201606 ,48.247"
"201607 ,44.952"
"201608 ,45.843"
"201609 ,46.568"
"201610 ,49.522"
"201611 ,44.734"
"201612 ,53.289"
"201701 ,54.577"
"201702 ,54.87"
"201703 ,51.589"
"201704 ,52.308"
"201705 ,50.327"
"201706 ,46.368"
"201707 ,48.479"
"201708 ,51.704"
"201709 ,56.153"
"201710 ,57.508"
"201711 ,62.714"
"201712 ,64.374"
"201801 ,69.077"
"201802 ,65.318"
"201803 ,66.017"
"201804 ,72.106"
"201805 ,76.975"
"201806 ,74.405"
"201807 ,74.254"
"201808 ,72.528"
"201809 ,78.891"
"201810 ,81.032"
"201811 ,64.748"
"201812 ,57.362"
"201901 ,59.41"
"201902 ,63.961"
"201903 ,66.139"
"201904 ,71.233"
"201905 ,71.318"
"201906 ,64.221"
"201907 ,63.919"
"201908 ,59.042"
"201909 ,62.827"
"201910 ,59.713"
"201911 ,63.212"
"201912 ,67.31"
"202001 ,63.65"
"202002 ,55.66"
"202003 ,32.01"
"202004 ,18.38"
"202005 ,29.38"
"202006 ,40.27"
"202007 ,43.24"
"202008 ,44.74"
"202009 ,40.91"
"202010 ,40.19"
"202011 ,42.69"
"202012 ,49.99"
"202101 ,54.77"
"202102 ,62.28"
"202103 ,65.41"
"202104 ,65.0"
"202105 ,66.0"
"202106 ,65.0"
"202107 ,64.0"
"202108 ,63.0"
"202109 ,61.0"
"202110 ,60.0"
"202111 ,60.0"
"202112 ,60.0"
"202201 ,62.0"
"202202 ,62.0"
"202203 ,62.0"
"202204 ,59.0"
"202205 ,59.0"
"202206 ,59.0"
"202207 ,60.0"
"202208 ,60.0"
"202209 ,60.0"
"202210 ,61.0"
"202211 ,61.0"
"202212 ,61.0"
